# Hunt log for 1 from Mon Dec 12 18:12:08 2011
# time	correctness
2.40374	1
5.56605	1
7.39298	1
9.37951	1
11.2874	1
13.1554	1
16.2954	0
17.2303	1
18.8195	1
21.2442	1
23.0931	1
27.2657	1
29.6156	1
32.3734	1
33.8556	0
34.565	1
37.6596	1
39.1702	1
41.5349	1
43.3635	1
44.8591	1
46.1261	1
48.596	1
50.9154	1
53.2406	1
55.5709	1
57.2048	1
58.4873	1
60.395	1
61.965	1
64.1115	1
66.0192	1
68.2054	1
70.0735	1
72.0409	1
73.9687	1
76.5763	1
78.5638	1
80.2887	1
81.6799	1
83.3691	1
85.2371	1
88.0004	1
90.8017	1
93.1273	1
95.4523	1
97.5648	1
99.7052	1
101.395	1
104.952	1
106.85	1
108.612	1
