# Hunt log for collodi from Tue Dec 13 13:00:06 2011
# time	correctness
1.17365	1
2.38387	1
5.26569	1
6.41827	1
7.3929	1
8.58552	1
9.83655	1
11.5069	1
13.1002	1
14.0315	1
15.4012	1
16.2568	0
16.6936	1
17.9451	1
18.7399	1
19.9522	1
21.0455	1
22.2774	1
23.4301	0
23.827	0
24.4243	0
24.9412	1
25.5768	0
25.9144	0
26.4708	1
27.5041	1
28.5775	1
29.8187	0
30.2467	1
31.2007	1
32.7111	0
33.3082	1
34.5603	0
35.2351	1
36.3678	1
37.5006	1
38.4149	1
40.1704	1
41.4815	1
43.0455	0
43.4031	1
44.4763	1
45.947	0
46.4636	1
47.7565	1
49.0476	1
51.2336	1
52.4456	1
54.2741	1
56.0431	1
57.7319	1
59.5404	1
61.1304	1
62.2831	1
63.2775	1
64.2506	1
65.9001	1
66.8946	1
68.9018	1
71.2659	1
72.2794	1
75.1652	1
76.7114	1
77.9636	1
79.5731	1
84.323	1
85.5352	1
87.1252	1
89.0731	1
91.8049	1
