# Hunt log for collodi from Tue Dec 13 11:12:56 2011
# time	correctness
5.10743	1
6.79701	1
11.1291	1
17.0118	1
20.0356	1
23.7314	1
26.9894	1
34.1231	1
38.3164	1
41.9335	1
47.0218	1
50.639	1
52.2281	1
54.9108	1
56.3619	1
58.1503	1
65.921	1
67.2527	1
68.2262	1
69.2412	1
70.8135	1
73.215	0
75.321	1
77.0905	1
79.8402	1
80.8135	1
82.2175	1
85.0789	1
86.0727	1
87.1783	1
91.9156	1
94.6979	1
97.0231	1
99.3682	1
103.343	1
105.251	1
106.761	1
108.51	1
109.524	1
113.44	1
116.937	1
120.434	1
122.521	1
124.589	1
128.846	1
131.524	1
134.862	1
136.949	1
139.12	1
144.482	1
147.005	1
