# Hunt log for collodi from Tue Dec 13 09:59:38 2011
# time	correctness
2.16602	0
2.8613	1
7.31309	1
9.68358	1
11.248	1
13.2553	1
15.521	1
16.8922	0
18.2437	1
19.8982	0
20.3104	1
22.9338	1
25.7455	1
28.4785	1
31.1419	1
33.1687	1
35.004	0
35.4768	1
37.1236	1
38.7931	1
40.2438	1
41.4362	0
41.9529	1
43.1453	1
44.6161	1
46.4644	1
47.8951	1
50.0629	1
54.4535	1
56.0469	1
57.8519	1
59.5611	1
61.4095	1
63.4364	1
65.1059	1
66.9739	1
69.458	0
70.7897	1
71.983	1
74.6852	1
77.7497	0
78.4213	1
80.5079	1
81.76	0
82.1975	0
83.1324	1
84.0853	1
85.9336	1
87.6426	1
89.4116	1
90.902	1
92.1538	1
95.3168	1
97.2826	1
99.1306	1
100.342	1
102.727	1
103.919	1
106.503	1
108.311	1
